[0929/144618.364:INFO:CONSOLE(1)] "Another connection wants to delete database 'wawc_db_enc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.c409864476ed07cfacdb.worker.js (1)
[0929/144618.594:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~app.be50aaad33253076fc3f.js (7)
[0929/144619.977:INFO:CONSOLE(1)] "Store Object 'Perfil' was not found", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect-team\wppconnect\dist\lib\wapi\wapi.js (1)
[0929/144619.979:INFO:CONSOLE(0)] "[object PromiseRejectionEvent]", source:  (0)
[0929/144619.979:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Cannot read properties of null (reading '__esModule')", source: C:\Users\Miguel\Documents\rotinazap\teste1\node_modules\@wppconnect-team\wppconnect\dist\lib\wapi\wapi.js (1)
[0929/144949.991:INFO:CONSOLE(0)] "[object PromiseRejectionEvent]", source:  (0)
[0929/144949.991:INFO:CONSOLE(2)] "Uncaught (in promise) DbOnLogoutAbortError: dropping db read operation due to logout", source: https://web.whatsapp.com/vendor1~app.be50aaad33253076fc3f.js (2)
[0929/144949.997:INFO:CONSOLE(1)] "Another connection wants to delete database 'wawc_db_enc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.c409864476ed07cfacdb.worker.js (1)
[0929/144949.997:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc_db_enc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~app.be50aaad33253076fc3f.js (7)
[0929/144950.022:INFO:CONSOLE(1)] "Another connection wants to delete database 'model-storage'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.c409864476ed07cfacdb.worker.js (1)
[0929/144950.028:INFO:CONSOLE(1)] "Another connection wants to delete database 'fts-storage'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.c409864476ed07cfacdb.worker.js (1)
[0929/144950.210:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ambient-light-sensor'.", source:  (0)
[0929/144950.532:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~app.7f14216f970118f62a35.js (7)
